ICB name,GP code,GP name,Asthma: QOF prevalence,Bowel cancer screening coverage: aged 60 to 74 years old,Breast screening coverage: aged 53 to 70 years old,CHD: QOF prevalence,CKD: QOF prevalence,COPD: QOF prevalence,Cancer: QOF prevalence,Cervical screening coverage: aged 25 to 49 years old,Cervical screening coverage: aged 50 to 64 years old,Children who received at least 1 dose of MMR vaccine between the ages of 1 and 1.5 yrs,Dementia: QOF prevalence,Depression: QOF incidence - new diagnosis,Deprivation score (IMD 2025),Diabetes: QOF prevalence,Hypertension: QOF prevalence,"Last BP reading of patients (80+ yrs, with hypertension), in the last 12 months is <= 150/90 mmHg (denominator incl. PCAs)","Last BP reading of patients (<80 yrs, with hypertension), in the last 12 months is <= 140/90 mmHg (denominator incl. PCAs)",Learning disability: QOF prevalence,Mental Health: QOF prevalence,Obesity: QOF prevalence (new definition),Osteoporosis: QOF prevalence,"Patients (aged 45+ yrs), who have a record of blood pressure in the last 5 yrs (denominator incl. PCAs)",Patients with diabetes and a history of CVD (excl. haem. stroke) treated with a statin (denominator incl. PCAs),People with type 2 diabetes who have received an annual foot check,People with type 2 diabetes who received a cholesterol check,Smoking: QOF prevalence,Stroke: QOF prevalence,Weighted population
Sussex ICB - 70F ,H82078,Southbourne Surgery,7.3669,78.2609,74.7292,3.5341,3.8382,1.646,4.8799,81.5287,82.2967,73.5294,1.249,1.433,12.724,7.2427,16.9539,87.1622,74.2923,0.4067,0.8036,11.3932,2.026,91.2672,77.561,83.0189,90.566,10.173,2.469,10047
Sussex ICB - 70F ,H82084,Brow Medical Centre,7.2033,75.9615,71.1656,3.8143,9.373,1.9912,5.1202,67.0833,76.1194,93.5484,1.8878,2.721,9.493,8.0395,20.0284,84.8861,71.8574,0.8922,1.3318,14.9427,5.4629,87.7464,82.0755,94.1176,96.4706,10.4062,3.323,8059
Sussex ICB - 70F ,H82087,Barn Surgery,7.0027,84.0517,83.9695,7.1003,9.2786,2.4877,9.2252,70.1754,73.8095,92.8571,1.4771,1.273,9.404,10.4641,34.0503,53.8803,44.9594,0.4146,1.0365,7.6945,1.6039,92.0689,78.9116,83.3333,85,6.6741,4.6644,5407
Sussex ICB - 70F ,H82088,Bewbush Medical Centre,9.9044,57.7143,52.7559,2.0308,3.8901,1.7713,2.4279,68.0328,70.0935,92.1875,0.1374,0.963,27.17,12.1194,14.1396,87.6923,71.6609,0.565,0.8704,14.3774,0.1066,86.1004,94.079,92.7928,90.991,18.0721,1.1452,5963
Sussex ICB - 70F ,H82089,Riverside Surgery,6.9945,77.8116,71.8487,2.2429,3.4452,1.3755,3.741,77.0992,78.4615,93.4307,0.368,0.859,8.967,5.4508,14.4209,82.7068,69.3478,0.3504,0.8411,13.902,0.4039,91.0115,83.2258,84.0909,93.1818,10.9306,1.2441,8795
Sussex ICB - 70F ,H82091,New Pond Row Surgery,7.8465,74.2138,71.2329,3.649,5.9157,2.2633,4.7921,76.5734,76.3006,92.7835,0.6697,1.844,17.552,9.2945,20.6813,75.4717,58.5955,0.6582,1.0393,19.0523,0.9026,90.0939,79.5652,83.7398,91.8699,13.619,2.2286,9977
Sussex ICB - 70F ,H82092,Village Surgery,7.0738,78.3476,73.3607,2.5671,4.289,1.4002,3.9135,79.2717,78.9216,95.8333,0.5026,1.216,7.258,6.2077,15.1692,86.9159,74.7991,0.4847,0.6014,11.445,0.2283,90.4093,86.2434,71.8447,94.1748,9.0969,1.7682,9153
Sussex ICB - 70F ,H82095,Witterings Medical Centre,8.3841,78.3505,74.0864,4.2209,7.2649,1.9812,6.8817,73.494,77.3756,83.0769,1.9717,0.843,14.732,8.4628,21.2385,81.0694,63.9162,0.4211,0.9667,13.5504,1.9172,89.9513,83.6364,81.4815,89.6296,10.6428,3.1394,11887
Sussex ICB - 70F ,H82096,The Orchard Surgery,7.7141,70.9524,70.4,4.5857,7.1429,3.1053,5.2717,76.5823,80.2198,100,0.7583,2.211,18.044,10.4012,20.6716,89.1386,76.8793,0.668,0.9388,17.6028,1.4569,91.4345,87.7551,94.5652,96.7391,16.0389,2.5456,6289
Sussex ICB - 70F ,H82098,Coachmans Medical Practice,6.804,62.8458,53.4031,2.1478,2.9176,2.4628,2.3578,66.581,69.8795,85.2174,0.1527,0.911,29.209,9.2821,13.2111,90.4762,76.0731,0.5346,0.7446,15.3392,0.2323,83.7377,87.4346,82.0144,90.6475,18.3583,1.1359,9746
